offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
150,18,20,10,10,10,358,0,0.0529100529100529,0.0271739130434783,1,0.0529100529100529,"feature, brute, threshold - orb - 1px_1px - 0.01"
150,18,20,20,10,10,358,0,0.0529100529100529,0.0271739130434783,1,0.0529100529100529,"feature, brute, threshold - orb - 1px_1px - 0.01"
150,28,17,10,10,7,361,0,0.044973544973545,0.0269541778975741,1,0.05249343832021,"feature, brute, threshold - orb - 1px_1px - 0.01"
150,28,17,20,10,7,361,0,0.044973544973545,0.0269541778975741,1,0.05249343832021,"feature, brute, threshold - orb - 1px_1px - 0.01"
100,40,8,10,8,0,370,0,0.0211640211640212,0.0211640211640212,1,0.0414507772020725,"feature, brute, threshold - orb - 1px_dilated - 0.01"
100,40,8,20,8,0,370,0,0.0211640211640212,0.0211640211640212,1,0.0414507772020725,"feature, brute, threshold - orb - 1px_dilated - 0.01"
150,22,13,10,12,1,365,0,0.0343915343915344,0.0318302387267905,1,0.0616966580976864,"feature, brute, threshold - orb - 1px_dilated - 0.01"
150,22,13,20,12,1,365,0,0.0343915343915344,0.0318302387267905,1,0.0616966580976864,"feature, brute, threshold - orb - 1px_dilated - 0.01"
150,30,13,10,13,0,365,0,0.0343915343915344,0.0343915343915344,1,0.0664961636828644,"feature, brute, threshold - orb - 1px_dilated - 0.01"
150,30,13,20,13,0,365,0,0.0343915343915344,0.0343915343915344,1,0.0664961636828644,"feature, brute, threshold - orb - 1px_dilated - 0.01"
100,35,23,10,17,6,355,0,0.0608465608465608,0.0456989247311828,1,0.0874035989717224,"feature, brute, threshold - orb - dilated_1px - 0.01"
100,35,23,20,17,6,355,0,0.0608465608465608,0.0456989247311828,1,0.0874035989717224,"feature, brute, threshold - orb - dilated_1px - 0.01"
150,30,13,10,11,2,365,0,0.0343915343915344,0.0292553191489362,1,0.0568475452196382,"feature, brute, threshold - orb - dilated_1px - 0.01"
150,30,13,20,11,2,365,0,0.0343915343915344,0.0292553191489362,1,0.0568475452196382,"feature, brute, threshold - orb - dilated_1px - 0.01"
100,40,18,10,18,0,360,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,"feature, brute, threshold - orb - dilated_dilated - 0.01"
100,40,18,20,18,0,360,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,"feature, brute, threshold - orb - dilated_dilated - 0.01"
150,30,11,10,11,0,367,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,"feature, brute, threshold - orb - dilated_dilated - 0.01"
150,30,11,20,11,0,367,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,"feature, brute, threshold - orb - dilated_dilated - 0.01"
