offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
10,0.9,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.9,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.9,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.75,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.75,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.75,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.6,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.6,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.6,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.5,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.5,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
10,0.5,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.9,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.9,10,173,0,173,7,198,0.457671957671958,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.9,20,173,0,173,7,198,0.457671957671958,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.75,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.75,10,177,0,177,3,198,0.468253968253968,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.75,20,177,0,177,3,198,0.468253968253968,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.6,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.6,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.6,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.5,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.5,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
20,0.5,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.9,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.9,10,172,0,172,12,194,0.455026455026455,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.9,20,172,0,172,12,194,0.455026455026455,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.75,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.75,10,176,0,176,7,195,0.465608465608466,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.75,20,176,0,176,7,195,0.465608465608466,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.6,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.6,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.6,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.5,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.5,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
30,0.5,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.9,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.9,10,172,0,172,13,193,0.455026455026455,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.9,20,172,0,172,13,193,0.455026455026455,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.75,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.75,10,176,0,176,9,193,0.465608465608466,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.75,20,176,0,176,9,193,0.465608465608466,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.6,0,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.6,10,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
40,0.6,20,179,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, knn - sift - dilated_1px - 0.01"
