offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
50,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,20,179,10,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,20,179,20,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,40,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,40,179,10,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,40,179,20,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,60,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,60,179,10,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,60,179,20,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
150,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
150,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
150,35,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
100,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
100,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
100,40,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
200,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
200,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
200,32,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
300,13,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
300,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
300,30,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
400,23,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
400,11,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
400,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
500,10,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
500,16,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
500,22,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_1px
50,30,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,30,179,10,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,30,179,20,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,45,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,45,179,10,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,45,179,20,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,75,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,75,179,10,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,75,179,20,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
150,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
150,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
150,23,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
100,18,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
100,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
100,40,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
200,17,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
200,22,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
200,30,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
300,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
300,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
300,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
400,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
400,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
400,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
500,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
500,14,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
500,22,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;1px_dilated
50,60,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
50,30,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
50,40,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
150,30,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
150,16,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
150,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
100,35,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
100,16,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
100,21,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
200,27,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
200,14,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
200,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
300,21,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
300,13,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
300,18,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
400,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
400,13,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
400,18,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
500,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
500,14,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
500,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_1px
50,50,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
50,30,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
50,70,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
150,30,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
150,16,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
150,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
100,18,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
100,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
