offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
150,20,48,10,18,330,30,0,0.126984126984127,0.0517241379310345,1,0.0983606557377049,flann;threshold;orb;1px_1px
150,20,48,20,18,330,30,0,0.126984126984127,0.0517241379310345,1,0.0983606557377049,flann;threshold;orb;1px_1px
150,35,19,10,18,359,1,0,0.0502645502645503,0.0477453580901857,1,0.0911392405063291,flann;threshold;orb;1px_1px
150,35,19,20,18,359,1,0,0.0502645502645503,0.0477453580901857,1,0.0911392405063291,flann;threshold;orb;1px_1px
200,15,49,10,9,329,40,0,0.12962962962963,0.0266272189349112,1,0.0518731988472622,flann;threshold;orb;1px_1px
200,15,49,20,9,329,40,0,0.12962962962963,0.0266272189349112,1,0.0518731988472622,flann;threshold;orb;1px_1px
200,20,13,10,9,365,4,0,0.0343915343915344,0.0240641711229947,1,0.0469973890339426,flann;threshold;orb;1px_1px
200,20,13,20,9,365,4,0,0.0343915343915344,0.0240641711229947,1,0.0469973890339426,flann;threshold;orb;1px_1px
200,32,9,10,9,369,0,0,0.0238095238095238,0.0238095238095238,1,0.0465116279069767,flann;threshold;orb;1px_1px
200,32,9,20,9,369,0,0,0.0238095238095238,0.0238095238095238,1,0.0465116279069767,flann;threshold;orb;1px_1px
300,20,19,10,16,359,3,0,0.0502645502645503,0.0426666666666667,1,0.0818414322250639,flann;threshold;orb;1px_1px
300,20,19,20,16,359,3,0,0.0502645502645503,0.0426666666666667,1,0.0818414322250639,flann;threshold;orb;1px_1px
300,30,16,10,16,362,0,0,0.0423280423280423,0.0423280423280423,1,0.0812182741116751,flann;threshold;orb;1px_1px
300,30,16,20,16,362,0,0,0.0423280423280423,0.0423280423280423,1,0.0812182741116751,flann;threshold;orb;1px_1px
400,23,4,10,4,374,0,0,0.0105820105820106,0.0105820105820106,1,0.0209424083769633,flann;threshold;orb;1px_1px
400,23,4,20,4,374,0,0,0.0105820105820106,0.0105820105820106,1,0.0209424083769633,flann;threshold;orb;1px_1px
400,15,11,10,4,367,7,0,0.0291005291005291,0.0107816711590297,1,0.0213333333333333,flann;threshold;orb;1px_1px
400,15,11,20,4,367,7,0,0.0291005291005291,0.0107816711590297,1,0.0213333333333333,flann;threshold;orb;1px_1px
500,16,9,10,4,369,5,0,0.0238095238095238,0.0107238605898123,1,0.0212201591511936,flann;threshold;orb;1px_1px
500,16,9,20,4,369,5,0,0.0238095238095238,0.0107238605898123,1,0.0212201591511936,flann;threshold;orb;1px_1px
500,22,4,10,4,374,0,0,0.0105820105820106,0.0105820105820106,1,0.0209424083769633,flann;threshold;orb;1px_1px
500,22,4,20,4,374,0,0,0.0105820105820106,0.0105820105820106,1,0.0209424083769633,flann;threshold;orb;1px_1px
200,22,18,10,18,360,0,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,flann;threshold;orb;1px_dilated
200,22,18,20,18,360,0,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,flann;threshold;orb;1px_dilated
200,30,18,10,18,360,0,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,flann;threshold;orb;1px_dilated
200,30,18,20,18,360,0,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,flann;threshold;orb;1px_dilated
400,20,17,10,16,361,1,0,0.044973544973545,0.0424403183023873,1,0.0814249363867684,flann;threshold;orb;1px_dilated
400,20,17,20,16,361,1,0,0.044973544973545,0.0424403183023873,1,0.0814249363867684,flann;threshold;orb;1px_dilated
400,25,16,10,16,362,0,0,0.0423280423280423,0.0423280423280423,1,0.0812182741116751,flann;threshold;orb;1px_dilated
400,25,16,20,16,362,0,0,0.0423280423280423,0.0423280423280423,1,0.0812182741116751,flann;threshold;orb;1px_dilated
500,20,8,10,8,370,0,0,0.0211640211640212,0.0211640211640212,1,0.0414507772020725,flann;threshold;orb;1px_dilated
500,20,8,20,8,370,0,0,0.0211640211640212,0.0211640211640212,1,0.0414507772020725,flann;threshold;orb;1px_dilated
500,22,8,10,8,370,0,0,0.0211640211640212,0.0211640211640212,1,0.0414507772020725,flann;threshold;orb;1px_dilated
500,22,8,20,8,370,0,0,0.0211640211640212,0.0211640211640212,1,0.0414507772020725,flann;threshold;orb;1px_dilated
150,30,21,10,21,357,0,0,0.0555555555555556,0.0555555555555556,1,0.105263157894737,flann;threshold;orb;dilated_1px
150,30,21,20,21,357,0,0,0.0555555555555556,0.0555555555555556,1,0.105263157894737,flann;threshold;orb;dilated_1px
150,20,53,10,21,325,32,0,0.14021164021164,0.0606936416184971,1,0.114441416893733,flann;threshold;orb;dilated_1px
150,20,53,20,21,325,32,0,0.14021164021164,0.0606936416184971,1,0.114441416893733,flann;threshold;orb;dilated_1px
200,27,6,10,6,372,0,0,0.0158730158730159,0.0158730158730159,1,0.03125,flann;threshold;orb;dilated_1px
200,27,6,20,6,372,0,0,0.0158730158730159,0.0158730158730159,1,0.03125,flann;threshold;orb;dilated_1px
200,20,15,10,6,363,9,0,0.0396825396825397,0.016260162601626,1,0.032,flann;threshold;orb;dilated_1px
200,20,15,20,6,363,9,0,0.0396825396825397,0.016260162601626,1,0.032,flann;threshold;orb;dilated_1px
300,21,17,10,17,361,0,0,0.044973544973545,0.044973544973545,1,0.0860759493670886,flann;threshold;orb;dilated_1px
300,21,17,20,17,361,0,0,0.044973544973545,0.044973544973545,1,0.0860759493670886,flann;threshold;orb;dilated_1px
300,18,23,10,17,355,6,0,0.0608465608465608,0.0456989247311828,1,0.0874035989717224,flann;threshold;orb;dilated_1px
300,18,23,20,17,355,6,0,0.0608465608465608,0.0456989247311828,1,0.0874035989717224,flann;threshold;orb;dilated_1px
400,20,18,10,18,360,0,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,flann;threshold;orb;dilated_1px
400,20,18,20,18,360,0,0,0.0476190476190476,0.0476190476190476,1,0.0909090909090909,flann;threshold;orb;dilated_1px
400,18,24,10,18,354,6,0,0.0634920634920635,0.0483870967741935,1,0.0923076923076923,flann;threshold;orb;dilated_1px
400,18,24,20,18,354,6,0,0.0634920634920635,0.0483870967741935,1,0.0923076923076923,flann;threshold;orb;dilated_1px
500,20,16,10,14,362,2,0,0.0423280423280423,0.0372340425531915,1,0.0717948717948718,flann;threshold;orb;dilated_1px
500,20,16,20,14,362,2,0,0.0423280423280423,0.0372340425531915,1,0.0717948717948718,flann;threshold;orb;dilated_1px
500,25,14,10,14,364,0,0,0.037037037037037,0.037037037037037,1,0.0714285714285714,flann;threshold;orb;dilated_1px
500,25,14,20,14,364,0,0,0.037037037037037,0.037037037037037,1,0.0714285714285714,flann;threshold;orb;dilated_1px
150,30,20,10,20,358,0,0,0.0529100529100529,0.0529100529100529,1,0.100502512562814,flann;threshold;orb;dilated_dilated
150,30,20,20,20,358,0,0,0.0529100529100529,0.0529100529100529,1,0.100502512562814,flann;threshold;orb;dilated_dilated
150,20,24,10,20,354,4,0,0.0634920634920635,0.053475935828877,1,0.101522842639594,flann;threshold;orb;dilated_dilated
150,20,24,20,20,354,4,0,0.0634920634920635,0.053475935828877,1,0.101522842639594,flann;threshold;orb;dilated_dilated
200,20,29,10,28,349,1,0,0.0767195767195767,0.0742705570291777,1,0.138271604938272,flann;threshold;orb;dilated_dilated
200,20,29,20,28,349,1,0,0.0767195767195767,0.0742705570291777,1,0.138271604938272,flann;threshold;orb;dilated_dilated
200,25,28,10,28,350,0,0,0.0740740740740741,0.0740740740740741,1,0.137931034482759,flann;threshold;orb;dilated_dilated
200,25,28,20,28,350,0,0,0.0740740740740741,0.0740740740740741,1,0.137931034482759,flann;threshold;orb;dilated_dilated
300,20,15,10,15,363,0,0,0.0396825396825397,0.0396825396825397,1,0.0763358778625954,flann;threshold;orb;dilated_dilated
300,20,15,20,15,363,0,0,0.0396825396825397,0.0396825396825397,1,0.0763358778625954,flann;threshold;orb;dilated_dilated
300,25,15,10,15,363,0,0,0.0396825396825397,0.0396825396825397,1,0.0763358778625954,flann;threshold;orb;dilated_dilated
300,25,15,20,15,363,0,0,0.0396825396825397,0.0396825396825397,1,0.0763358778625954,flann;threshold;orb;dilated_dilated
400,20,11,10,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;orb;dilated_dilated
400,20,11,20,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;orb;dilated_dilated
400,25,11,10,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;orb;dilated_dilated
400,25,11,20,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;orb;dilated_dilated
150,340,107,10,11,271,96,0,0.283068783068783,0.0390070921985816,1,0.0750853242320819,flann;threshold;sift;dilated_dilated
150,340,107,20,11,271,96,0,0.283068783068783,0.0390070921985816,1,0.0750853242320819,flann;threshold;sift;dilated_dilated
150,440,11,10,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;sift;dilated_dilated
150,440,11,20,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;sift;dilated_dilated
300,340,100,10,11,278,89,0,0.264550264550265,0.0380622837370242,1,0.0733333333333333,flann;threshold;sift;dilated_dilated
300,340,100,20,11,278,89,0,0.264550264550265,0.0380622837370242,1,0.0733333333333333,flann;threshold;sift;dilated_dilated
300,440,11,10,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;sift;dilated_dilated
300,440,11,20,11,367,0,0,0.0291005291005291,0.0291005291005291,1,0.0565552699228792,flann;threshold;sift;dilated_dilated
500,340,95,10,10,283,85,0,0.251322751322751,0.0341296928327645,1,0.066006600660066,flann;threshold;sift;dilated_dilated
500,340,95,20,10,283,85,0,0.251322751322751,0.0341296928327645,1,0.066006600660066,flann;threshold;sift;dilated_dilated
500,440,10,10,10,368,0,0,0.0264550264550265,0.0264550264550265,1,0.0515463917525773,flann;threshold;sift;dilated_dilated
500,440,10,20,10,368,0,0,0.0264550264550265,0.0264550264550265,1,0.0515463917525773,flann;threshold;sift;dilated_dilated
