offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
10,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,450,179,10,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,450,179,20,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,520,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,520,179,10,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,520,179,20,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,600,179,10,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
10,600,179,20,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,450,176,10,0,176,5,197,0.465608465608466,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,450,176,20,0,176,5,197,0.465608465608466,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,520,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,520,168,10,0,168,15,195,0.444444444444444,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,520,168,20,0,168,15,195,0.444444444444444,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,600,168,10,0,168,15,195,0.444444444444444,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
20,600,168,20,0,168,15,195,0.444444444444444,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,450,173,10,0,173,16,189,0.457671957671958,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,450,173,20,0,173,16,189,0.457671957671958,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,520,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,520,165,10,0,165,33,180,0.436507936507937,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,520,165,20,0,165,33,180,0.436507936507937,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,600,165,10,0,165,33,180,0.436507936507937,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
30,600,165,20,0,165,33,180,0.436507936507937,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,450,172,10,0,172,23,183,0.455026455026455,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,450,172,20,0,172,23,183,0.455026455026455,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,520,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,520,163,10,0,163,48,167,0.431216931216931,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,520,163,20,0,163,48,167,0.431216931216931,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,550,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
40,550,163,10,0,163,48,167,0.431216931216931,0,0,0,"feature, flann, threshold - sift - dilated_1px - 0.01"
