offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
50,375,180,10,1,0,179,198,0.476190476190476,1,0.0050251256281407,0.01,brute;threshold;sift;dilated_1px
50,375,180,20,1,0,179,198,0.476190476190476,1,0.0050251256281407,0.01,brute;threshold;sift;dilated_1px
50,0,187,0,12,0,175,191,0.494708994708995,1,0.0591133004926108,0.111627906976744,TM_CCOEFF_NORMED;1px_1px
50,0,187,0,12,0,175,191,0.494708994708995,1,0.0591133004926108,0.111627906976744,TM_CCOEFF_NORMED;1px_dilated
50,0,183,0,6,0,177,195,0.484126984126984,1,0.0298507462686567,0.0579710144927536,TM_CCOEFF_NORMED;dilated_1px
100,0,180,0,1,0,179,198,0.476190476190476,1,0.0050251256281407,0.01,TM_CCOEFF_NORMED;dilated_1px
50,0,183,0,6,0,177,195,0.484126984126984,1,0.0298507462686567,0.0579710144927536,TM_CCOEFF_NORMED;dilated_dilated
50,0,187,0,12,0,175,191,0.494708994708995,1,0.0591133004926108,0.111627906976744,TM_CCORR_NORMED;1px_1px
50,0,187,0,12,0,175,191,0.494708994708995,1,0.0591133004926108,0.111627906976744,TM_CCORR_NORMED;1px_dilated
50,0,183,0,6,0,177,195,0.484126984126984,1,0.0298507462686567,0.0579710144927536,TM_CCORR_NORMED;dilated_1px
100,0,180,0,1,0,179,198,0.476190476190476,1,0.0050251256281407,0.01,TM_CCORR_NORMED;dilated_1px
50,0,183,0,6,0,177,195,0.484126984126984,1,0.0298507462686567,0.0579710144927536,TM_CCORR_NORMED;dilated_dilated
