offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
150,0.9,10,110,101,268,9,0,0.291005291005291,0.273712737127371,1,0.429787234042553,brute;knn;orb;1px_1px
150,0.9,20,110,101,268,9,0,0.291005291005291,0.273712737127371,1,0.429787234042553,brute;knn;orb;1px_1px
200,0.9,10,113,109,265,4,0,0.298941798941799,0.29144385026738,1,0.451345755693582,brute;knn;orb;1px_1px
200,0.9,20,113,109,265,4,0,0.298941798941799,0.29144385026738,1,0.451345755693582,brute;knn;orb;1px_1px
300,0.9,10,103,97,275,6,0,0.272486772486772,0.260752688172043,1,0.4136460554371,brute;knn;orb;1px_1px
300,0.9,20,103,97,275,6,0,0.272486772486772,0.260752688172043,1,0.4136460554371,brute;knn;orb;1px_1px
300,0.75,10,116,87,262,29,0,0.306878306878307,0.249283667621777,1,0.399082568807339,brute;knn;orb;1px_1px
300,0.75,20,116,87,262,29,0,0.306878306878307,0.249283667621777,1,0.399082568807339,brute;knn;orb;1px_1px
400,0.9,10,80,77,298,3,0,0.211640211640212,0.205333333333333,1,0.34070796460177,brute;knn;orb;1px_1px
400,0.9,20,80,77,298,3,0,0.211640211640212,0.205333333333333,1,0.34070796460177,brute;knn;orb;1px_1px
400,0.75,10,113,86,265,27,0,0.298941798941799,0.245014245014245,1,0.393592677345538,brute;knn;orb;1px_1px
400,0.75,20,113,86,265,27,0,0.298941798941799,0.245014245014245,1,0.393592677345538,brute;knn;orb;1px_1px
500,0.9,10,80,78,298,2,0,0.211640211640212,0.207446808510638,1,0.343612334801762,brute;knn;orb;1px_1px
500,0.9,20,80,78,298,2,0,0.211640211640212,0.207446808510638,1,0.343612334801762,brute;knn;orb;1px_1px
500,0.75,10,79,63,299,16,0,0.208994708994709,0.174033149171271,1,0.296470588235294,brute;knn;orb;1px_1px
500,0.75,20,79,63,299,16,0,0.208994708994709,0.174033149171271,1,0.296470588235294,brute;knn;orb;1px_1px
150,0.9,10,111,111,267,0,0,0.293650793650794,0.293650793650794,1,0.45398773006135,brute;knn;orb;1px_dilated
150,0.9,20,111,111,267,0,0,0.293650793650794,0.293650793650794,1,0.45398773006135,brute;knn;orb;1px_dilated
200,0.9,10,102,102,276,0,0,0.26984126984127,0.26984126984127,1,0.425,brute;knn;orb;1px_dilated
200,0.9,20,102,102,276,0,0,0.26984126984127,0.26984126984127,1,0.425,brute;knn;orb;1px_dilated
