offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
150,0.9,10,80,75,5,298,0,0.211640211640212,0.201072386058981,1,0.334821428571429,"feature, brute, knn - orb - 1px_1px - 0.05"
150,0.9,20,80,75,5,298,0,0.211640211640212,0.201072386058981,1,0.334821428571429,"feature, brute, knn - orb - 1px_1px - 0.05"
150,0.9,10,74,74,0,304,0,0.195767195767196,0.195767195767196,1,0.327433628318584,"feature, brute, knn - orb - 1px_dilated - 0.05"
150,0.9,20,74,74,0,304,0,0.195767195767196,0.195767195767196,1,0.327433628318584,"feature, brute, knn - orb - 1px_dilated - 0.05"
100,0.9,10,102,88,14,276,0,0.26984126984127,0.241758241758242,1,0.389380530973451,"feature, brute, knn - orb - dilated_1px - 0.05"
100,0.9,20,102,88,14,276,0,0.26984126984127,0.241758241758242,1,0.389380530973451,"feature, brute, knn - orb - dilated_1px - 0.05"
150,0.9,10,70,66,4,308,0,0.185185185185185,0.176470588235294,1,0.3,"feature, brute, knn - orb - dilated_1px - 0.05"
150,0.9,20,70,66,4,308,0,0.185185185185185,0.176470588235294,1,0.3,"feature, brute, knn - orb - dilated_1px - 0.05"
100,0.9,10,89,88,1,289,0,0.235449735449735,0.23342175066313,1,0.378494623655914,"feature, brute, knn - orb - dilated_dilated - 0.05"
100,0.9,20,89,88,1,289,0,0.235449735449735,0.23342175066313,1,0.378494623655914,"feature, brute, knn - orb - dilated_dilated - 0.05"
150,0.9,10,71,71,0,307,0,0.187830687830688,0.187830687830688,1,0.316258351893096,"feature, brute, knn - orb - dilated_dilated - 0.05"
150,0.9,20,71,71,0,307,0,0.187830687830688,0.187830687830688,1,0.316258351893096,"feature, brute, knn - orb - dilated_dilated - 0.05"
