offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
150,0.9,10,111,100,267,11,0,0.293650793650794,0.272479564032698,1,0.428265524625268,flann;knn;orb;1px_1px
150,0.9,20,111,100,267,11,0,0.293650793650794,0.272479564032698,1,0.428265524625268,flann;knn;orb;1px_1px
200,0.9,10,110,107,268,3,0,0.291005291005291,0.285333333333333,1,0.443983402489627,flann;knn;orb;1px_1px
200,0.9,20,110,107,268,3,0,0.291005291005291,0.285333333333333,1,0.443983402489627,flann;knn;orb;1px_1px
300,0.9,10,102,96,276,6,0,0.26984126984127,0.258064516129032,1,0.41025641025641,flann;knn;orb;1px_1px
300,0.9,20,102,96,276,6,0,0.26984126984127,0.258064516129032,1,0.41025641025641,flann;knn;orb;1px_1px
300,0.75,10,113,87,265,26,0,0.298941798941799,0.247159090909091,1,0.396355353075171,flann;knn;orb;1px_1px
300,0.75,20,113,87,265,26,0,0.298941798941799,0.247159090909091,1,0.396355353075171,flann;knn;orb;1px_1px
400,0.9,10,82,79,296,3,0,0.216931216931217,0.210666666666667,1,0.348017621145374,flann;knn;orb;1px_1px
400,0.9,20,82,79,296,3,0,0.216931216931217,0.210666666666667,1,0.348017621145374,flann;knn;orb;1px_1px
400,0.75,10,113,88,265,25,0,0.298941798941799,0.24929178470255,1,0.399092970521542,flann;knn;orb;1px_1px
400,0.75,20,113,88,265,25,0,0.298941798941799,0.24929178470255,1,0.399092970521542,flann;knn;orb;1px_1px
500,0.9,10,83,81,295,2,0,0.21957671957672,0.215425531914894,1,0.354485776805252,flann;knn;orb;1px_1px
500,0.9,20,83,81,295,2,0,0.21957671957672,0.215425531914894,1,0.354485776805252,flann;knn;orb;1px_1px
500,0.75,10,80,64,298,16,0,0.211640211640212,0.176795580110497,1,0.300469483568075,flann;knn;orb;1px_1px
500,0.75,20,80,64,298,16,0,0.211640211640212,0.176795580110497,1,0.300469483568075,flann;knn;orb;1px_1px
150,0.9,10,112,112,266,0,0,0.296296296296296,0.296296296296296,1,0.457142857142857,flann;knn;orb;1px_dilated
150,0.9,20,112,112,266,0,0,0.296296296296296,0.296296296296296,1,0.457142857142857,flann;knn;orb;1px_dilated
200,0.9,10,104,104,274,0,0,0.275132275132275,0.275132275132275,1,0.431535269709544,flann;knn;orb;1px_dilated
200,0.9,20,104,104,274,0,0,0.275132275132275,0.275132275132275,1,0.431535269709544,flann;knn;orb;1px_dilated
300,0.9,10,94,94,284,0,0,0.248677248677249,0.248677248677249,1,0.398305084745763,flann;knn;orb;1px_dilated
300,0.9,20,94,94,284,0,0,0.248677248677249,0.248677248677249,1,0.398305084745763,flann;knn;orb;1px_dilated
400,0.9,10,67,67,311,0,0,0.177248677248677,0.177248677248677,1,0.301123595505618,flann;knn;orb;1px_dilated
400,0.9,20,67,67,311,0,0,0.177248677248677,0.177248677248677,1,0.301123595505618,flann;knn;orb;1px_dilated
400,0.75,10,79,64,299,15,0,0.208994708994709,0.176308539944904,1,0.299765807962529,flann;knn;orb;1px_dilated
400,0.75,20,79,64,299,15,0,0.208994708994709,0.176308539944904,1,0.299765807962529,flann;knn;orb;1px_dilated
500,0.9,10,89,89,289,0,0,0.235449735449735,0.235449735449735,1,0.381156316916488,flann;knn;orb;1px_dilated
500,0.9,20,89,89,289,0,0,0.235449735449735,0.235449735449735,1,0.381156316916488,flann;knn;orb;1px_dilated
500,0.75,10,82,74,296,8,0,0.216931216931217,0.2,1,0.333333333333333,flann;knn;orb;1px_dilated
500,0.75,20,82,74,296,8,0,0.216931216931217,0.2,1,0.333333333333333,flann;knn;orb;1px_dilated
150,0.9,10,120,114,258,6,0,0.317460317460317,0.306451612903226,1,0.469135802469136,flann;knn;orb;dilated_1px
150,0.9,20,120,114,258,6,0,0.317460317460317,0.306451612903226,1,0.469135802469136,flann;knn;orb;dilated_1px
200,0.9,10,108,106,270,2,0,0.285714285714286,0.281914893617021,1,0.439834024896266,flann;knn;orb;dilated_1px
200,0.9,20,108,106,270,2,0,0.285714285714286,0.281914893617021,1,0.439834024896266,flann;knn;orb;dilated_1px
300,0.9,10,101,98,277,3,0,0.267195767195767,0.261333333333333,1,0.414376321353065,flann;knn;orb;dilated_1px
300,0.9,20,101,98,277,3,0,0.267195767195767,0.261333333333333,1,0.414376321353065,flann;knn;orb;dilated_1px
300,0.75,10,132,94,246,38,0,0.349206349206349,0.276470588235294,1,0.433179723502304,flann;knn;orb;dilated_1px
300,0.75,20,132,94,246,38,0,0.349206349206349,0.276470588235294,1,0.433179723502304,flann;knn;orb;dilated_1px
400,0.9,10,90,88,288,2,0,0.238095238095238,0.234042553191489,1,0.379310344827586,flann;knn;orb;dilated_1px
400,0.9,20,90,88,288,2,0,0.238095238095238,0.234042553191489,1,0.379310344827586,flann;knn;orb;dilated_1px
400,0.75,10,118,82,260,36,0,0.312169312169312,0.239766081871345,1,0.386792452830189,flann;knn;orb;dilated_1px
400,0.75,20,118,82,260,36,0,0.312169312169312,0.239766081871345,1,0.386792452830189,flann;knn;orb;dilated_1px
500,0.9,10,80,79,298,1,0,0.211640211640212,0.209549071618037,1,0.346491228070175,flann;knn;orb;dilated_1px
500,0.9,20,80,79,298,1,0,0.211640211640212,0.209549071618037,1,0.346491228070175,flann;knn;orb;dilated_1px
500,0.75,10,93,66,285,27,0,0.246031746031746,0.188034188034188,1,0.316546762589928,flann;knn;orb;dilated_1px
500,0.75,20,93,66,285,27,0,0.246031746031746,0.188034188034188,1,0.316546762589928,flann;knn;orb;dilated_1px
150,0.9,10,108,108,270,0,0,0.285714285714286,0.285714285714286,1,0.444444444444444,flann;knn;orb;dilated_dilated
150,0.9,20,108,108,270,0,0,0.285714285714286,0.285714285714286,1,0.444444444444444,flann;knn;orb;dilated_dilated
200,0.9,10,114,114,264,0,0,0.301587301587302,0.301587301587302,1,0.463414634146341,flann;knn;orb;dilated_dilated
200,0.9,20,114,114,264,0,0,0.301587301587302,0.301587301587302,1,0.463414634146341,flann;knn;orb;dilated_dilated
200,0.75,10,149,97,229,52,0,0.394179894179894,0.297546012269939,1,0.458628841607565,flann;knn;orb;dilated_dilated
200,0.75,20,149,97,229,52,0,0.394179894179894,0.297546012269939,1,0.458628841607565,flann;knn;orb;dilated_dilated
300,0.9,10,97,97,281,0,0,0.256613756613757,0.256613756613757,1,0.408421052631579,flann;knn;orb;dilated_dilated
300,0.9,20,97,97,281,0,0,0.256613756613757,0.256613756613757,1,0.408421052631579,flann;knn;orb;dilated_dilated
300,0.75,10,117,94,261,23,0,0.30952380952381,0.264788732394366,1,0.418708240534521,flann;knn;orb;dilated_dilated
300,0.75,20,117,94,261,23,0,0.30952380952381,0.264788732394366,1,0.418708240534521,flann;knn;orb;dilated_dilated
400,0.9,10,92,92,286,0,0,0.243386243386243,0.243386243386243,1,0.391489361702128,flann;knn;orb;dilated_dilated
400,0.9,20,92,92,286,0,0,0.243386243386243,0.243386243386243,1,0.391489361702128,flann;knn;orb;dilated_dilated
400,0.75,10,123,89,255,34,0,0.325396825396825,0.258720930232558,1,0.41108545034642,flann;knn;orb;dilated_dilated
400,0.75,20,123,89,255,34,0,0.325396825396825,0.258720930232558,1,0.41108545034642,flann;knn;orb;dilated_dilated
500,0.9,10,86,86,292,0,0,0.227513227513228,0.227513227513228,1,0.370689655172414,flann;knn;orb;dilated_dilated
500,0.9,20,86,86,292,0,0,0.227513227513228,0.227513227513228,1,0.370689655172414,flann;knn;orb;dilated_dilated
500,0.75,10,121,93,257,28,0,0.32010582010582,0.265714285714286,1,0.419864559819413,flann;knn;orb;dilated_dilated
500,0.75,20,121,93,257,28,0,0.32010582010582,0.265714285714286,1,0.419864559819413,flann;knn;orb;dilated_dilated
