offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
30,0.75,10,178,2,176,5,195,0.470899470899471,0.285714285714286,0.0101522842639594,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
30,0.75,20,178,2,176,5,195,0.470899470899471,0.285714285714286,0.0101522842639594,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
40,0.75,10,178,2,176,7,193,0.470899470899471,0.222222222222222,0.0102564102564103,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
40,0.75,20,178,2,176,7,193,0.470899470899471,0.222222222222222,0.0102564102564103,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
60,0.75,10,178,2,176,9,191,0.470899470899471,0.181818181818182,0.0103626943005181,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
60,0.75,20,178,2,176,9,191,0.470899470899471,0.181818181818182,0.0103626943005181,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
80,0.75,10,178,2,176,10,190,0.470899470899471,0.166666666666667,0.0104166666666667,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
80,0.75,20,178,2,176,10,190,0.470899470899471,0.166666666666667,0.0104166666666667,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
100,0.75,10,178,2,176,11,189,0.470899470899471,0.153846153846154,0.0104712041884817,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
100,0.75,20,178,2,176,11,189,0.470899470899471,0.153846153846154,0.0104712041884817,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
