offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
40,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
40,35,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
40,50,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
60,13,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
60,26,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
60,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
80,10,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
80,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
80,32,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
100,9,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
100,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
100,32,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
150,10,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
150,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
150,25,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.05"
