offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
100,32,99,10,97,2,279,0,0.261904761904762,0.257978723404255,1,0.41014799154334,"feature, flann, threshold - orb - 1px_1px - 0.05"
100,32,99,20,97,2,279,0,0.261904761904762,0.257978723404255,1,0.41014799154334,"feature, flann, threshold - orb - 1px_1px - 0.05"
150,20,68,10,66,2,310,0,0.17989417989418,0.175531914893617,1,0.298642533936652,"feature, flann, threshold - orb - 1px_1px - 0.05"
150,20,68,20,66,2,310,0,0.17989417989418,0.175531914893617,1,0.298642533936652,"feature, flann, threshold - orb - 1px_1px - 0.05"
150,25,66,10,66,0,312,0,0.174603174603175,0.174603174603175,1,0.297297297297297,"feature, flann, threshold - orb - 1px_1px - 0.05"
150,25,66,20,66,0,312,0,0.174603174603175,0.174603174603175,1,0.297297297297297,"feature, flann, threshold - orb - 1px_1px - 0.05"
100,40,72,10,72,0,306,0,0.19047619047619,0.19047619047619,1,0.32,"feature, flann, threshold - orb - 1px_dilated - 0.05"
100,40,72,20,72,0,306,0,0.19047619047619,0.19047619047619,1,0.32,"feature, flann, threshold - orb - 1px_dilated - 0.05"
150,22,63,10,63,0,315,0,0.166666666666667,0.166666666666667,1,0.285714285714286,"feature, flann, threshold - orb - 1px_dilated - 0.05"
150,22,63,20,63,0,315,0,0.166666666666667,0.166666666666667,1,0.285714285714286,"feature, flann, threshold - orb - 1px_dilated - 0.05"
150,30,63,10,63,0,315,0,0.166666666666667,0.166666666666667,1,0.285714285714286,"feature, flann, threshold - orb - 1px_dilated - 0.05"
150,30,63,20,63,0,315,0,0.166666666666667,0.166666666666667,1,0.285714285714286,"feature, flann, threshold - orb - 1px_dilated - 0.05"
100,30,68,10,66,2,310,0,0.17989417989418,0.175531914893617,1,0.298642533936652,"feature, flann, threshold - orb - dilated_1px - 0.05"
100,30,68,20,66,2,310,0,0.17989417989418,0.175531914893617,1,0.298642533936652,"feature, flann, threshold - orb - dilated_1px - 0.05"
100,42,66,10,66,0,312,0,0.174603174603175,0.174603174603175,1,0.297297297297297,"feature, flann, threshold - orb - dilated_1px - 0.05"
100,42,66,20,66,0,312,0,0.174603174603175,0.174603174603175,1,0.297297297297297,"feature, flann, threshold - orb - dilated_1px - 0.05"
150,25,73,10,73,0,305,0,0.193121693121693,0.193121693121693,1,0.323725055432373,"feature, flann, threshold - orb - dilated_1px - 0.05"
150,25,73,20,73,0,305,0,0.193121693121693,0.193121693121693,1,0.323725055432373,"feature, flann, threshold - orb - dilated_1px - 0.05"
150,40,73,10,73,0,305,0,0.193121693121693,0.193121693121693,1,0.323725055432373,"feature, flann, threshold - orb - dilated_1px - 0.05"
150,40,73,20,73,0,305,0,0.193121693121693,0.193121693121693,1,0.323725055432373,"feature, flann, threshold - orb - dilated_1px - 0.05"
100,30,100,10,100,0,278,0,0.264550264550265,0.264550264550265,1,0.418410041841004,"feature, flann, threshold - orb - dilated_dilated - 0.05"
100,30,100,20,100,0,278,0,0.264550264550265,0.264550264550265,1,0.418410041841004,"feature, flann, threshold - orb - dilated_dilated - 0.05"
100,40,100,10,100,0,278,0,0.264550264550265,0.264550264550265,1,0.418410041841004,"feature, flann, threshold - orb - dilated_dilated - 0.05"
100,40,100,20,100,0,278,0,0.264550264550265,0.264550264550265,1,0.418410041841004,"feature, flann, threshold - orb - dilated_dilated - 0.05"
150,30,68,10,68,0,310,0,0.17989417989418,0.17989417989418,1,0.304932735426009,"feature, flann, threshold - orb - dilated_dilated - 0.05"
150,30,68,20,68,0,310,0,0.17989417989418,0.17989417989418,1,0.304932735426009,"feature, flann, threshold - orb - dilated_dilated - 0.05"
