offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
80,550,175,10,13,162,57,146,0.462962962962963,0.185714285714286,0.0817610062893082,0.11353711790393,"feature, flann, threshold - sift - dilated_1px - 0.05"
80,550,175,20,13,162,57,146,0.462962962962963,0.185714285714286,0.0817610062893082,0.11353711790393,"feature, flann, threshold - sift - dilated_1px - 0.05"
80,700,170,10,13,157,64,144,0.44973544973545,0.168831168831169,0.0828025477707006,0.111111111111111,"feature, flann, threshold - sift - dilated_1px - 0.05"
80,700,170,20,13,157,64,144,0.44973544973545,0.168831168831169,0.0828025477707006,0.111111111111111,"feature, flann, threshold - sift - dilated_1px - 0.05"
100,550,166,10,13,153,74,138,0.439153439153439,0.149425287356322,0.0860927152317881,0.109243697478992,"feature, flann, threshold - sift - dilated_1px - 0.05"
100,550,166,20,13,153,74,138,0.439153439153439,0.149425287356322,0.0860927152317881,0.109243697478992,"feature, flann, threshold - sift - dilated_1px - 0.05"
100,600,166,10,13,153,74,138,0.439153439153439,0.149425287356322,0.0860927152317881,0.109243697478992,"feature, flann, threshold - sift - dilated_1px - 0.05"
100,600,166,20,13,153,74,138,0.439153439153439,0.149425287356322,0.0860927152317881,0.109243697478992,"feature, flann, threshold - sift - dilated_1px - 0.05"
150,550,157,10,13,144,105,116,0.415343915343915,0.110169491525424,0.10077519379845,0.105263157894737,"feature, flann, threshold - sift - dilated_1px - 0.05"
150,550,157,20,13,144,105,116,0.415343915343915,0.110169491525424,0.10077519379845,0.105263157894737,"feature, flann, threshold - sift - dilated_1px - 0.05"
150,650,156,10,13,143,109,113,0.412698412698413,0.10655737704918,0.103174603174603,0.104838709677419,"feature, flann, threshold - sift - dilated_1px - 0.05"
150,650,156,20,13,143,109,113,0.412698412698413,0.10655737704918,0.103174603174603,0.104838709677419,"feature, flann, threshold - sift - dilated_1px - 0.05"
